Sort Time,Comparisons,Swaps
0.002448,5575,999
0.002476,5575,999
0.003536,499167,999
0.002549,5575,999
0.002933,499167,999
0.002576,5575,999
0.003018,499167,999
0.002446,5575,999
0.003365,499167,999
0.002554,5575,999
0.003764,499167,999
0.002487,5575,999
0.003120,499167,999
0.002393,5575,999
0.002790,499167,999
0.002451,5575,999
0.003113,499167,999
0.002472,5575,999
0.003305,499167,999
0.002411,5575,999
0.002864,499167,999
0.002460,5575,999
0.003144,499167,999
0.002793,5575,999
0.003223,499167,999
0.002392,5575,999
0.002926,499167,999
0.002383,5575,999
0.003144,499167,999
0.003466,5575,999
